Hour	VMT (Veh-Miles)	Truck VMT (Veh-Miles)	# Lane Points	% Observed
02/15/2020 00:00	7,242,278.7	335,246.8	420468	67.2
02/15/2020 01:00	5,105,082.9	264,577.4	420468	67.1
02/15/2020 02:00	4,243,227.7	239,710.0	420552	67.1
02/15/2020 03:00	3,792,823.3	235,946.5	420468	66.0
02/15/2020 04:00	4,660,973.0	285,664.8	420468	66.0
02/15/2020 05:00	7,123,530.4	386,538.5	420552	66.9
02/15/2020 06:00	11,010,479.9	518,300.6	420468	66.9
02/15/2020 07:00	15,172,165.3	649,589.9	420468	67.0
02/15/2020 08:00	19,127,495.6	748,538.2	420468	67.1
02/15/2020 09:00	22,455,051.7	835,594.3	420264	67.1
02/15/2020 10:00	24,365,129.1	881,736.3	420468	67.2
02/15/2020 11:00	25,255,826.2	897,404.0	420468	67.2
02/15/2020 12:00	25,624,414.9	901,631.3	420468	67.2
02/15/2020 13:00	25,532,563.0	877,225.4	420468	67.2
02/15/2020 14:00	25,423,236.1	854,312.4	420468	67.3
02/15/2020 15:00	25,240,265.7	829,905.4	420468	67.2
02/15/2020 16:00	24,867,097.8	799,859.5	420468	67.3
02/15/2020 17:00	24,070,811.1	758,262.9	420468	67.2
02/15/2020 18:00	22,150,505.7	700,601.4	420468	67.2
02/15/2020 19:00	19,169,669.1	594,675.0	420468	67.1
02/15/2020 20:00	16,682,712.8	513,760.3	420264	67.1
02/15/2020 21:00	15,286,096.5	465,279.2	420468	67.0
02/15/2020 22:00	13,364,003.8	405,420.9	420264	67.0
02/15/2020 23:00	10,118,446.2	320,074.3	420264	67.1
02/16/2020 00:00	7,046,954.9	233,931.2	420468	67.2
02/16/2020 01:00	4,891,483.5	179,591.6	420468	67.2
02/16/2020 02:00	3,949,974.3	158,553.3	420468	67.2
02/16/2020 03:00	3,123,725.9	139,223.5	420468	67.2
02/16/2020 04:00	3,243,440.0	148,503.2	420468	67.2
02/16/2020 05:00	4,438,772.3	196,550.8	420264	67.0
02/16/2020 06:00	6,773,012.6	267,694.8	420468	67.1
02/16/2020 07:00	9,550,687.5	356,073.3	420468	67.1
02/16/2020 08:00	13,346,246.0	464,252.7	420552	67.2
02/16/2020 09:00	18,001,342.9	588,635.3	420468	67.2
02/16/2020 10:00	21,547,289.6	689,956.0	420468	67.2
02/16/2020 11:00	23,310,102.0	750,236.6	420468	67.3
02/16/2020 12:00	24,126,971.0	782,033.7	420468	67.3
02/16/2020 13:00	24,463,550.5	791,929.6	420468	67.3
02/16/2020 14:00	24,380,868.9	784,808.4	420468	67.3
02/16/2020 15:00	23,932,710.1	769,216.0	417613	67.3
02/16/2020 16:00	23,701,649.5	752,512.6	420468	67.2
02/16/2020 17:00	22,808,596.0	717,900.6	420468	67.3
02/16/2020 18:00	21,368,030.2	676,679.1	420468	67.3
02/16/2020 19:00	18,996,946.8	601,432.5	420264	67.2
02/16/2020 20:00	16,726,460.4	538,476.5	420468	66.8
02/16/2020 21:00	14,390,188.7	472,983.8	420468	66.5
02/16/2020 22:00	11,068,789.7	384,750.4	420468	65.4
02/16/2020 23:00	7,530,988.4	290,038.4	420468	65.4
02/17/2020 00:00	4,952,983.4	220,861.0	420468	65.3
02/17/2020 01:00	3,472,249.5	189,282.7	420468	65.3
02/17/2020 02:00	3,092,391.9	188,276.2	420468	65.2
02/17/2020 03:00	3,808,170.2	243,445.9	420468	65.0
02/17/2020 04:00	6,710,738.5	370,525.5	420468	64.8
02/17/2020 05:00	11,510,554.6	569,909.4	420468	64.8
02/17/2020 06:00	15,884,970.8	740,507.9	420468	64.8
02/17/2020 07:00	18,534,101.1	856,118.6	420468	64.9
02/17/2020 08:00	19,223,623.3	917,825.7	420468	65.0
02/17/2020 09:00	20,713,802.2	1,002,234.9	420468	65.0
02/17/2020 10:00	22,551,322.7	1,074,056.2	420468	65.1
02/17/2020 11:00	23,706,255.3	1,110,345.2	420468	65.1
02/17/2020 12:00	24,280,222.6	1,112,729.9	420264	65.1
02/17/2020 13:00	24,930,504.5	1,094,109.7	420552	65.0
02/17/2020 14:00	25,647,037.9	1,056,346.4	420468	65.0
02/17/2020 15:00	25,936,003.1	1,005,743.2	420468	65.0
02/17/2020 16:00	25,654,133.3	957,272.5	420468	65.0
02/17/2020 17:00	24,826,667.7	900,626.5	420468	65.2
02/17/2020 18:00	22,105,755.7	815,296.3	420468	67.0
02/17/2020 19:00	18,661,854.9	706,445.8	420468	66.9
02/17/2020 20:00	15,714,136.1	617,465.3	420468	66.9
02/17/2020 21:00	13,057,858.2	543,761.6	420264	66.9
02/17/2020 22:00	9,719,498.1	447,721.4	420552	66.9
02/17/2020 23:00	6,595,547.8	350,118.3	420468	66.9
02/18/2020 00:00	4,395,998.2	264,977.5	420468	65.2
02/18/2020 01:00	3,234,672.4	224,157.9	420468	65.2
02/18/2020 02:00	3,117,456.3	234,198.0	420468	65.1
02/18/2020 03:00	4,351,949.0	315,844.2	420468	65.1
02/18/2020 04:00	8,716,965.7	503,007.9	420468	65.0
02/18/2020 05:00	15,605,690.3	752,975.6	420552	65.0
02/18/2020 06:00	21,418,564.8	948,008.2	420468	64.4
02/18/2020 07:00	24,919,039.8	1,094,090.8	420468	65.2
02/18/2020 08:00	23,828,861.4	1,141,510.2	420264	65.2
02/18/2020 09:00	22,176,935.2	1,145,753.6	420264	65.3
02/18/2020 10:00	21,166,350.3	1,158,010.6	420468	65.3
02/18/2020 11:00	21,432,530.4	1,190,510.7	420468	65.3
02/18/2020 12:00	22,075,516.1	1,195,833.1	420468	65.3
02/18/2020 13:00	23,025,529.7	1,186,590.8	420468	65.3
02/18/2020 14:00	24,780,114.4	1,156,351.2	420468	65.2
02/18/2020 15:00	25,765,591.1	1,128,184.3	420468	65.2
02/18/2020 16:00	25,714,219.3	1,067,761.7	420264	65.2
02/18/2020 17:00	25,363,303.6	1,034,127.5	420468	65.3
02/18/2020 18:00	22,388,021.1	926,960.9	420468	65.2
02/18/2020 19:00	18,120,369.5	765,972.6	420264	65.2
02/18/2020 20:00	14,824,739.1	647,388.2	420468	65.2
02/18/2020 21:00	12,451,150.9	571,270.3	420468	65.2
02/18/2020 22:00	9,403,981.0	469,577.8	420468	65.1
02/18/2020 23:00	6,353,212.7	363,429.7	420468	65.1
02/19/2020 00:00	4,388,972.4	286,779.9	420468	67.2
02/19/2020 01:00	3,308,163.7	241,931.7	420468	67.2
02/19/2020 02:00	3,198,933.3	247,560.8	420468	67.2
02/19/2020 03:00	4,361,733.6	328,860.0	420468	67.1
02/19/2020 04:00	8,617,424.0	516,918.7	420468	67.0
02/19/2020 05:00	15,601,035.6	777,357.5	420468	67.0
02/19/2020 06:00	21,541,424.5	980,492.6	420264	64.4
02/19/2020 07:00	25,190,791.4	1,138,923.2	420468	61.8
02/19/2020 08:00	23,756,419.1	1,170,987.9	420468	67.1
02/19/2020 09:00	21,944,894.0	1,168,888.1	420264	67.2
02/19/2020 10:00	21,305,359.0	1,195,739.3	420468	67.2
02/19/2020 11:00	21,471,865.8	1,213,196.9	420468	66.7
02/19/2020 12:00	22,036,356.6	1,208,625.5	420468	67.2
02/19/2020 13:00	23,075,438.9	1,195,963.8	420468	67.2
02/19/2020 14:00	24,835,725.3	1,172,818.3	420468	67.2
02/19/2020 15:00	25,713,768.9	1,121,044.6	420468	66.3
02/19/2020 16:00	25,774,819.6	1,070,665.0	420468	65.5
02/19/2020 17:00	25,453,322.8	1,038,717.6	420468	66.3
02/19/2020 18:00	22,615,490.1	935,239.8	420468	64.4
02/19/2020 19:00	18,462,070.1	775,281.9	420468	67.0
02/19/2020 20:00	15,394,463.5	667,476.9	420264	64.2
02/19/2020 21:00	13,169,511.4	590,468.0	420264	51.8
